dataset,doc_count,avg_token_count,median_token_count,p25_token_count,p75_token_count,p90_token_count,short_lt_50_ratio,short_lt_100_ratio,english_ratio,avg_language_score,median_language_score,lang_score_lt_08_ratio,lang_score_lt_09_ratio,duplicate_id_ratio,duplicate_url_ratio,duplicate_text_ratio,unique_domain_count,retention_ratio,deletion_ratio
raw,172447,779.8138326558305,487.0,241.0,916.0,1611.0,0.0004291173519980052,0.039391813136789855,1.0,0.9352966696017893,0.9430122375488281,0.012600973052590071,0.13945154163308146,0.0,8.698324702662267e-05,0.0,139653,1.0,0.0
clean,142316,774.2719230444925,530.0,276.0,957.0,1620.0,0.0,0.018950785575760982,1.0,0.9473887193525966,0.9484912157058716,0.0,0.0,0.0,0.0,0.0,115465,0.8252738522560554,0.17472614774394457
