dataset,doc_count,avg_token_count,median_token_count,p25_token_count,p75_token_count,p90_token_count,p95_token_count,p99_token_count,short_lt_50_ratio,short_lt_100_ratio,short_lt_200_ratio,long_gt_2000_ratio,long_gt_5000_ratio,english_ratio,avg_language_score,median_language_score,lang_score_lt_08_ratio,lang_score_lt_09_ratio,lang_score_lt_085_ratio,duplicate_id_ratio,duplicate_url_ratio,duplicate_text_ratio,unique_domain_count,weak_urlpattern_ratio,spam_like_ratio,retention_ratio,deletion_ratio,shard_id,filter_version
raw,172447,779.8138326558305,487.0,241.0,916.0,1611.0,2307.0,4865.080000000016,0.0004291173519980052,0.039391813136789855,0.19352612686796522,0.0660086867269364,0.0093593973800646,1.0,0.9352966696017893,0.9430122375488281,0.012600973052590071,0.13945154163308146,0.0355239580856727,0.0,8.698324702662267e-05,0.0,139653,0.021316694404657662,,1.0,0.0,004_00018,v1
clean,142316,774.2719230444925,530.0,276.0,957.0,1620.0,2238.0,4135.0,0.0,0.018950785575760982,0.1549158211304421,0.06432165041175975,0.005607240225975997,1.0,0.9473887193525966,0.9484912157058716,0.0,0.0,0.0,0.0,0.0,0.0,115465,0.0,,0.8252738522560554,0.17472614774394457,004_00018,v1
