metric,stage,count,mean,median,min,p25,p75,max
language_score,before,172447,0.9352966696017893,0.9430122375488281,0.6500535607337952,0.9188422560691833,0.9620256423950195,0.9985013008117676
language_score,after,165738,0.9402212955373288,0.9443818628787994,0.8500137329101562,0.9222616255283356,0.9627156257629395,0.9985013008117676
token_count,before,172447,779.8138326558305,487.0,31.0,241.0,916.0,103654.0
token_count,after,165738,762.9248271368062,500.5,50.0,251.0,928.0,9970.0
text_length,before,172447,3638.0663044297667,2262.0,136.0,1111.0,4286.0,481614.0
text_length,after,165738,3574.74291954772,2332.0,207.0,1167.0,4356.0,53704.0
